DOI,来源,研究方向,论文标题,CR_学科,CR_摘要,CR_作者和机构,CR_参考文献DOI,CR_出版商
10.1093/jaac/kpab065,JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,What Makes Heavy Metal 'Heavy'?,[],"AbstractIn this article, I raise a simple but surprisingly vexing question: What makes heavy metal heavy? We commonly describe music as “heavy,” whether as criticism or praise. But what does “heavy” mean? How is it applied as an aesthetic term? Drawing on sociological and musicological studies of heavy metal, as well as recent work on the aesthetics of rock music, I discuss the relevant musical properties of heaviness. The modest aim of this article, however, is to show the difficulty, if not impossibility, of this seemingly straightforward task. I first address the difficulties of identifying the defining features, or “Gestalt,” of heavy metal that would allow us to treat heaviness as a genre concept. Next, I discuss both the merits and the limits of analyzing heaviness in terms of an aesthetics of “noise” in rock music developed in recent philosophy of music. In the remaining sections, I consider other nonaesthetic features relevant to aesthetic judgments of heaviness and show that the term ‘heavy’ is conceptually inarticulable, if not irreducible. This, I conclude, has partly to do with the radically different, sometimes incompatible, musical properties present in the perception of musical heaviness.","[('Jason Miller', 'Department of Philosophy, Warren Wilson College, Asheville, NC, USA')]","['10.1111/jaac.12351', '10.1111/1540_6245.jaac51.1.0023', '10.1515/9781474465489-006', '10.1111/1540_6245.jaac57.2.0193', '10.1386/mms.4.1.95_1', '10.1111/phc3.12145', '10.2307/2182490', '10.1111/j.1533-1598.2003.tb00114.x', '10.2307/j.ctv1220q3v', '10.2307/2183933', '10.1080/19401159.2013.846655', '10.1111/1540_6245.jaac53.1.0078']",Oxford University Press (OUP)
10.1162/leon_a_02054,LEONARDO,1304 Fine Art; 1301 Art Theory,Slow Looking at Slow Art The Work of Pierre Bonnard,[],"Abstract Slow looking is an increasingly prevalent strategy for enhancing visitor engagement in the gallery, yet there is little research to show why looking at artworks for longer should be beneficial. The curator of a recent exhibition of Pierre Bonnard at the Tate Gallery in London encouraged viewers to look slowly in order to enrich their experience of Bonnard’s paintings. This article explores some of the reasons why Bonnard’s work, in particular, rewards the viewer who spends more time studying it. The authors draw on various scientific studies of the ways in which observers process color contrasts, spatial configuration and figure-ground segregation in artworks and in everyday vision. They propose that prolonged interactions with works of art can facilitate perceptual learning, and they suggest ways in which these effects could be empirically studied using psychological methods.","[('Rebecca Chamberlain', 'Rebecca Chamberlain, Goldsmiths, University of London, 8 Lewisham Way, New Cross, London, SE14 6NW, U.K. Email: r.chamberlain@gold.ac.uk.'), ('Robert Pepperell', 'Robert Pepperell, School of Art & Design, Cardiff Metropolitan University, 200 Western Avenue, Cardiff, CF5 2YB, U.K. Email: rpepperell@cardiffmet.ac.uk.')]","['10.2190/5MQM-59JH-X21R-JN5J', '10.1177/2041669517694184', '10.1037/11526-000', '10.1371/journal.pone.0099019', '10.5406/jaesteduc.53.1.0106', '10.1016/j.visres.2008.06.010', '10.1523/JNEUROSCI.07-11-03416.1987', '10.3389/fnhum.2011.00104', '10.1038/s41467-018-07830-6', '10.1068/i0668', '10.1163/22134913-00002056', '10.1037/a0029333', '10.1006/cogp.1996.0018', '10.1016/j.brainresbull.2007.04.009', '10.1016/0028-3932(95)00014-T', '10.1068/p5262']",MIT Press - Journals
10.1093/aesthj/ayz053,BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Fatal Prescription,[],"Abstract Ethicism is the most comprehensively defended answer to the question regarding whether ethical properties determine aesthetic properties in artworks. According to ethicism, aesthetically relevant ethical flaws in artworks count as aesthetic flaws and aesthetically relevant ethical merits count as aesthetic merits. In this paper, I argue that ethicism’s most significant argument, the Merited Response Argument (MRA) (and other moralist arguments like it) suffers from an ambiguity that makes it either unsound or uninteresting. Specifically, the notion of an artwork’s ‘prescribing’ a response, central to MRA, is ambiguous between merely attempting to elicit a response from appreciators as appropriate to a work, and endorsing a response as appropriate to relevant parts of the actual world. While the first sense of ‘prescribe’ does the aesthetic work, the second does the ethical.","[('Nils-Hennes Stear', 'University of Southampton and Uppsala Universitet')]",[],Oxford University Press (OUP)
"=""10.1177/1470412920909990""",JOURNAL OF VISUAL CULTURE,1304 Fine Art; 1301 Art Theory; 0303 Sociology; 1305 Design,Whole world within reach: Google Earth VR,[],,[],[],
"=""10.1177/1470412920944480""",JOURNAL OF VISUAL CULTURE,1304 Fine Art; 1301 Art Theory; 0303 Sociology; 1305 Design,The wavering line of foreground and background: a proposal for the schematic analysis of trans visual culture,[],,[],[],
10.1111/jaac.12716,JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Plato in Therapy: A Cognitivist Reassessment of the Republic's Idea of Mimesis,[],,"[('JONAS GRETHLEIN', 'Heidelberg University—Classics Marstallhof 2–4 Heidelberg 69117 Germany')]","['10.1515/9781474429764', '10.7591/9781501722776', '10.1371/journal.pone.0055341', '10.1017/CBO9780511553806', '10.2307/284143', '10.56021/9781421405186', '10.25162/9783515116299', '10.1515/9783110365658', '10.1017/CBO9780511663888.005', '10.1093/acprof:oso/9780198749417.001.0001', '10.1016/S0193-3973(02)00124-7', '10.1002/9781444302790', '10.7208/chicago/9780226294179.001.0001', '10.1515/9781400825066', '10.7208/chicago/9780226515809.001.0001', '10.1017/S003329171700040X', '10.1093/0199271941.001.0001', '10.1093/cercor/bhn181', '10.3406/comm.1966.1121', '10.3390/soc3040491', '10.1353/nlh.2015.0011', '10.1017/9781108131582', '10.1353/nlh.2006.0035', '10.1632/pmla.2009.124.3.896', '10.1163/2213441789X00216', '10.1515/9781400825301', '10.1515/9783110214536.1.15', '10.1017/S1750270518000064', '10.2307/j.ctt1df4gnk', '10.1126/science.286.5449.2526', '10.1016/j.neuropsychologia.2018.02.026', '10.1093/acprof:oso/9780195140781.001.0001', '10.1093/acprof:oso/9780195175769.001.0001', '10.3138/9781442674370', '10.1515/9781400852604', '10.1017/9781316877036', '10.1016/j.jrp.2005.08.002', '10.1093/cq/47.1.301', '10.1016/j.brat.2015.08.010', '10.1002/9781119970910', '10.1093/acprof:oso/9780199798322.001.0001', '10.1093/oso/9780198848295.003.0014', '10.1515/9781503619852', '10.4159/harvard.9780674419674', '10.1515/9781400864294', '10.4324/9780203082591', '10.1017/CBO9781316286777']",Oxford University Press (OUP)
10.1080/00043079.2020.1676133,ART BULLETIN,1304 Fine Art; 1301 Art Theory,Miscegenation in Marble: John Bell's Octoroon,[],,"[('Mia L. Bagneris', '')]",[],Informa UK Limited
"=""10.1177/1470412920966015""",JOURNAL OF VISUAL CULTURE,1304 Fine Art; 1301 Art Theory; 1305 Design; 0303 Sociology,"Introduction: touch, click and motion: archaeologies of fashion film after digital culture",[],,[],[],
10.1093/jaac/kpac040,JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,How Statues Speak,[],"Abstract We apply a familiar distinction from philosophy of language to a class of material artifacts that are sometimes said to “speak”: statues. By distinguishing how statues speak at the locutionary level versus at the illocutionary level, or what they say versus what they do, we obtain the resource for addressing two topics. First, we can explain what makes statues distinct from street art. Second, we can explain why it is mistaken to criticize—or to defend—the continuing presence of statues based only on what they represent. Both explanations are driven by the same core idea: the significance of statues arises primarily from what they do and not what they say.","[('David Friedell', 'Philosophy Department, Union College , Schenectady, NY , USA'), ('Shen-yi Liao', 'Philosophy Department, University of Puget Sound , Tacoma, WA , USA')]","['10.1093/aesthj/ayv030', '10.1111/jaac.12261', '10.1111/jaac.12325', '10.1007/s11406-007-9065-9', '10.1093/oso/9780198738831.003.0001', '10.5840/wpr19931021', '10.4324/9780429462573-10', '10.1111/ejop.12573', '10.1111/papq.12000', '10.1111/phpr.12701', '10.1111/papa.12162', '10.1353/cjp.0.0050', '10.1023/B:LING.0000010803.47264.f0', '10.1080/00048400802370334', '10.1093/acprof:oso/9780199236282.001.0001', '10.5840/soctheorpract201642215', '10.1111/papq.12279', '10.1086/707215', '10.2307/431994', '10.1111/1540_6245.jaac52.1.0013', '10.26556/jesp.v18i1.696', '10.1111/j.1467-9264.2006.00195.x', '10.5840/tpm20209189', '10.1111/jopp.12176', '10.1111/1467-9752.12582', '10.1007/BF00188849', '10.5840/soctheorpract201642218', '10.1111/1467-9752.12580']",Oxford University Press (OUP)
"=""10.1177/1470412920906260""",JOURNAL OF VISUAL CULTURE,1304 Fine Art; 1301 Art Theory; 0303 Sociology; 1305 Design,Empathy for the game master: how virtual reality creates empathy for those seen to be creating VR,[],,[],[],
10.1111/1467-8365.12508,ART HISTORY,1304 Fine Art; 1301 Art Theory,"EROS, that's life",[],"The Exposition inteRnatiOnale du Surréalisme, or EROS, which took place in Paris between December 1959 and February 1960, was focused on the origins of art in the erotic drives, and was oriented implicitly to its contemporary moment in regard to the censorship of political and sexual material in the Fifth Republic. The exhibition is examined in relation to issues of hybridity, encounter, ritual, and the destabilization of identities, using Nora Mitrani's definition of scandal as a mixing of categories. Robert Rauschenberg's and Jasper Johns's works in the exhibition are discussed in light of these issues, as is a photograph by William Klein of the surrealist group in the precincts of the exhibition, for the French edition of Vogue.","[('Steven Harris', '')]",[],Oxford University Press (OUP)
10.1093/aesthj/ayaa030,BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,At the Limits: What Drives Experiences of the Sublime,[],,"[('Margherita Arcangeli', 'Institut Jean-Nicod (EHESS-ENS-CNRS), PSL University'), ('Jérôme Dokic', 'Institut Jean-Nicod (EHESS-ENS-CNRS), PSL University')]","['10.3389/fpsyg.2020.01340', '10.1093/acprof:oso/9780199646739.001.0001', '10.1017/CBO9781139018098', '10.1007/978-3-319-77619-4_11', '10.1353/cjp.2012.0003', '10.1093/acprof:oso/9780199646739.003.0020', '10.1037/a0027200', '10.1037/pspp0000120', '10.1037/aca0000204', '10.3389/fnhum.2014.00891', '10.1002/9780470996508.ch7', '10.1080/02699930302297', '10.1163/ej.9789004174443.i-348.58', '10.1093/acprof:oso/9780198767213.003.0004', '10.1007/s11098-012-9873-z', '10.3389/fnhum.2017.00245', '10.1177/1754073912468165', '10.1037/aca0000273', '10.1037/pspi0000018', '10.1093/acprof:oso/9780199602162.001.0001', '10.1017/CBO9780511730023', '10.1111/j.1467-8721.2008.00548.x', '10.2307/j.ctvxrpz54', '10.1111/1540-6245.00108']",Oxford University Press (OUP)
10.1080/00233609.2020.1788636,KONSTHISTORISK TIDSKRIFT,1304 Fine Art; 1301 Art Theory,Winckelmann's Depreciation of Colour in Light of theQuerelle du colorisand Recent Critique,[],,"[('Lasse Hodne', '')]",[],Informa UK Limited
10.1093/jaac/kpab002,JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,What Is the Monumental?,[],"AbstractThe aesthetic category of the sublime has been theorized (especially in the Kantian tradition) as integrally intertwined with the moral. Paradigmatic experiences of the sublime, such as gazing up at the starry night sky, or out at a storm-whipped sea, lead in a moral or religious direction depending on the cognitive stock brought to the experience, since they typically involve a feeling of awe and reflection on the peculiar situation of the human being in nature. The monumental is a similar aesthetic category, integrally intertwined with the political, but, by contrast, has garnered almost no attention from aestheticians. My main goal in this paper is to sketch a theory of ‘the monumental’ as an aesthetic category—one that is a species of the sublime but differs qualitatively from the natural/environmental sublime in significant ways, and thus merits a distinctive label. In doing so, I aim to shed light on the nature and power of monuments specifically, and to begin to address a lacuna in our understanding of a long-standing and culturally important form of public art.","[('Sandra Shapshay', 'Hunter College and the Graduate Center, CUNY, New York, NY, USA')]","['10.1111/j.1540-6245.2008.00306.x', '10.5040/9781350038950.ch-009', '10.3389/fpsyg.2020.01340', '10.1017/CBO9781139018098', '10.1111/jaac.12596', '10.1093/bjaesthetics/36.3.223', '10.1017/CBO9780511978920', '10.7312/evan18758', '10.1093/acprof:oso/9780199263219.001.0001', '10.1037/aca0000204', '10.3389/fnhum.2014.00891', '10.1111/1540_6245.jaac54.1.0015', '10.1080/02699930302297', '10.1111/jaac.12595', '10.1515/9780691186658-010', '10.1093/aesthj/ays067', '10.1057/9781137313713', '10.1111/jaac.12600', '10.1093/acprof:oso/9780198747758.001.0001']",Oxford University Press (OUP)
10.33134/eeja.234,ESTETIKA-THE EUROPEAN JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,What Is Street Art?,[],"What is street art? This paper offers a definition of street art as an art kind or art form based on its essential value: its subversiveness. It argues that street art is essentially subversive in virtue of using public space as a technical resource. By hijacking a portion of the urban landscape with its colourful forms and witty designs, street art challenges familiar ways of practising the city, while creating a ‘temporary autonomous zone’ of free expression. There, corporate control over the city’s visible surfaces is ridiculed and people reclaim their right to use the city. In this sense, street art functions as a carnivalesque tactic of social resistance, favouring the emergence of alternative ways to imagine our urban life and our uses of public space. By considering its subversiveness, one can also explain how street art (i) significantly differs from official public art; (ii) includes graffiti as its original and most radical style.","[('Andrea Lorenzo Baldini', '')]","['10.1080/13604810903529142', '10.1093/monist/onx033', '10.1093/aesthj/ayv030', '10.1353/aq.2007.0077', '10.1111/jaac.12261', '10.1177/1470412915592883', '10.1080/01944360108976352', '10.1080/00233609.2012.762804', '10.1080/00233609.2015.1095797', '10.1111/jaac.12325', '10.1375/acri.35.2.165', '10.1111/j.1467-8330.2011.00849.x', '10.2307/2169636', '10.1177/1206331213512052', '10.1386/vi.7.1.19_1', '10.1111/papq.12279', '10.1080/10304312.2013.854867', '10.1080/21502552.2014.878487', '10.1111/jaac.12280', '10.1016/j.jbusres.2009.02.003', '10.1017/S0031819100065785']",Helsinki University Press
10.1162/leon_a_01835,LEONARDO,1304 Fine Art; 1301 Art Theory,The Main Course Was Mealworms The Epistemics of Art and Science in Public Engagement,[],Abstract The authors share an emerging analytical approach to designing and studying STEAM programs that focuses on how programs integrate the respective epistemic practices—the ways in which knowledge is constructed—of science and art. They share the rationale for moving beyond surface features of STEAM programs (e.g. putting textiles and electronics on the same table) to the discipline-specific ways in which participants engage in creative inquiry and production. They share a brief example from a public STEAM event to demonstrate the ways in which this approach can foster reflection and intentionality in the design and implementation of STEAM programs.,"[('Bronwyn Bevan', 'Bronwyn Bevan, University of Washington, College of Education, U.S.A. Email: bronwynb@uw.edu.'), ('Sam Mejias', 'Sam Mejias, Parsons School of Design, The New School, School of Design Strategies; and London School of Economics and Political Science, Department of Media and Communications, U.K. Email: mejiass@newschool.edu.'), ('Mark Rosin', 'Mark Rosin, Pratt Institute, Department of Mathematics and Science, U.S.A. Email: mark@guerillascience.org.'), ('Jen Wong', ""Jen Wong, Science Gallery London, King's College London, U.K. Email: jen@guerillascience.org."")]",[],MIT Press
10.1093/aesthj/ayac059,BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,The Aesthetic Enkratic Principle,[],"Abstract There is a dimension of rationality, known as structural rationality, according to which a paradigmatic example of what it means to be rational is not to be akratic. Although some philosophers claim that aesthetics falls within the scope of rationality, a non-akrasia constraint prohibiting certain combinations of attitudes is yet to be developed in this domain. This essay is concerned with the question of whether such a requirement is plausible and, if so, whether it is an actual requirement of aesthetic rationality. Ultimately, this paper defends the view that aesthetics is no different from other domains in that it requires coherence between a subject’s mental states (in the aesthetic case, between what is judged and what is aesthetically liked).","[('Irene Martínez Marín', 'Uppsala University , Sweden')]","['10.1093/acprof:oso/9780199685523.001.0001', '10.1002/9781118609088', '10.1080/00455091.2015.1118231', '10.5406/jaesteduc.50.4.0001', '10.1093/mind/fzz018', '10.1017/CBO9780511663888.004', '10.5840/logos-episteme20211211', '10.3389/fpsyg.2020.577703', '10.1111/nous.12310', '10.5840/jphil201811538', '10.1007/s11098-021-01775-1', '10.1007/s11098-010-9570-8', '10.1093/acprof:oso/9780199547975.001.0001', '10.1086/698732', '10.2307/432348', '10.2307/2564667', '10.1007/978-1-4020-5265-1_10', '10.1111/nous.12026', '10.1111/1540_6245.jaac34.1.0051', '10.1007/s11098-018-1196-2', '10.1007/s11098-010-9651-8', '10.1111/j.1540-6245.2010.01398.x', '10.1007/s11098-009-9418-2', '10.1007/s11406-017-9905-1', '10.1515/9783110496765-006', '10.1080/00048408012341341', '10.1093/acprof:oso/9780199753673.003.0002', '10.1093/aesthj/ayj020', '10.1111/j.1755-2567.2009.01049.x', '10.1017/S0265052500001734', '10.1111/phpr.12246', '10.1111/nous.12362', '10.1111/mila.12070']",Oxford University Press (OUP)
10.1093/aesthj/ayaa005,BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Schiller on Freedom and Aesthetic Value: Part II,[],"Abstract In his Letters on the Aesthetic Education of Man, Friedrich Schiller draws a striking connection between aesthetic value and individual and political freedom, claiming that, ‘it is only through beauty that man makes his way to freedom’. However, contemporary ways of thinking about freedom and aesthetic value make it difficult to see what the connection could be. Through a careful reconstruction of the Letters, we argue that Schiller’s theory of aesthetic value serves as the key to understanding not only his view of aesthetic engagement, but also his distinctive account of individual and political freedom. Whereas in Part I, we developed a reconstruction of Schiller's view that aesthetic value is the only path to individual freedom, in Part II we analyze how Schiller connects aesthetic value to political freedom. In the end, we show that Schiller defends a non-hedonic, action-oriented, communitarian theory of aesthetic value and a theory of freedom that makes the aesthetic not just supererogatory but fundamental for any fully autonomous life. Although we have lost touch with this way of thinking about aesthetic value and freedom, we submit that it is illuminating for contemporary thinking about both.","[('Samantha Matherne', 'Harvard University'), ('Nick Riggle', 'University of San Diego')]",[],Oxford University Press (OUP)
10.1111/jaac.12734,JOURNAL OF AESTHETICS AND ART CRITICISM,1301 Art Theory; 1304 Fine Art; 0101 Philosophy,On Experiencing Installation Art,[],,"[('ELISA CALDAROLA', '\xa0Department of Philosophy, Sociology, Education and Applied Psychology \xa0University of Padua \xa0Padua \xa0Italy')]","['10.1017/CBO9780511674716', '10.1093/oso/9780199688210.001.0001']",Oxford University Press (OUP)
10.1093/jaac/kpab078,JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Learning Implicit Biases from Fiction,[],"Abstract Philosophers and psychologists have argued that fiction can ethically educate us: fiction supposedly can make us better people. This view has been contested. It is, however, rarely argued that fiction can morally “corrupt” us. In this article, we focus on the alleged power of fiction to decrease one's prejudices and biases. We argue that if fiction has the power to change prejudices and biases for the better, then it can also have the opposite effect. We further argue that fictions are more likely to be a bad influence than a good one.","[('Kris Goffin', 'Department of Philosophy, Birkbeck, University of London, London, United Kingdom'), ('Kris Goffin', 'Department of Philosophy, University of Antwerp, Antwerp, Belgium'), ('Kris Goffin', 'Research Group of Quantitative Psychology and Individual Differences, KU Leuven, Leuven, Belgium'), ('Stacie Friend', 'Department of Philosophy, Birkbeck, University of London, London, United Kingdom')]","['10.1037/0022-3514.91.4.652', '10.1007/978-1-349-00952-7', '10.1111/papq.12302', '10.1017/CBO9780511663888.005', '10.1016/j.jesp.2014.06.007', '10.1111/jaac.12440', '10.1037/0022-3514.83.6.1314', '10.1093/oso/9780199656615.001.0001', '10.1017/S1138741600006491', '10.1037/0033-2909.127.6.853', '10.7551/mitpress/5760.001.0001', '10.7551/mitpress/5797.001.0001', '10.1037/xge0000395', '10.1111/j.1540-6245.2012.01520.x', '10.3366/olr.1991.006', '10.1186/s40359-019-0299-7', '10.1111/j.1467-9264.2012.00331.x', '10.1017/CBO9780511663888.007', '10.2307/2678446', '10.1037/0022-3514.79.5.701', '10.1037/0033-295X.102.1.4', '10.1037/a0015575', '10.1075/upal.35.14hak', '10.1080/13869790500095962', '10.1093/acprof:oso/9780198713241.003.0004', '10.1075/ssol.3.1.08joh', '10.1126/science.1239918', '10.1037/a0036260', '10.1002/9781444302813.ch3', '10.1093/oso/9780190604981.001.0001', '10.1111/j.1745-6924.2008.00073.x', '10.1016/j.jesp.2015.08.002', '10.1126/science.159.3810.56', '10.1017/S0140525X09000855', '10.1027/1864-1105/a000249', '10.1037/aca0000089', '10.2307/j.ctt5vjmwc', '10.1111/1467-9280.00376', '10.1177/0146167205284004', '10.1146/annurev.psych.60.110707.163607', '10.1037/pspa0000064', '10.1111/j.2041-6962.2011.00069.x', '10.1177/0146167203256906', '10.1080/02699931.2017.1279591', '10.1093/acprof:oso/9780199325603.003.0003', '10.7208/chicago/9780226767307.001.0001', '10.1086/448328', '10.1111/jasp.12279', '10.1093/aristoteliansupp/68.1.27', '10.1111/j.1751-2409.2011.01032.x', '10.1126/science.1178358', '10.1016/j.obhdp.2015.04.002', '10.1177/0276236621996244', '10.5334/jopd.ac', '10.1523/JNEUROSCI.2418-09.2009']",Oxford University Press (OUP)
10.1093/aesthj/ayz051,BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Intuitions on the Individuation of Musical Works. An Empirical Study,[],"Abstract Philosophers often consider better compliance with prevalent pre-theoretical intuitions to be an advantage of a theory of ontology of musical works. However, despite many predictions of what these intuitions on relevant questions might be, so far there is only one experimental philosophy study on the repeatability of musical works by Christopher Bartel. We decided to examine the intuitions concerning the individuation of musical works by creating scenarios reflecting the differences in the positions of musical ontologists: pure and timbral sonicism, instrumentalism, and contextualism. The results show that emotional expressivity, instrument, timbre, and images evoked in the listeners were not considered as properties individuating musical works. However, the musical works were held to be different if the composers were different. In most cases, the participants had clear intuitions. Pure sonicism, complemented with additional stress on significance of the composer’s creativity, seems to be the most intuitive position.","[('Elzė Sigutė Mikalonytė', 'Vilnius University'), ('Vilius Dranseika', 'Vilnius University')]",[],Oxford University Press (OUP)
10.1080/00043079.2020.1676129,ART BULLETIN,1304 Fine Art; 1301 Art Theory,Impressionism and the Standardization of Time: Claude Monet at Gare Saint-Lazare,[],,"[('André Dombrowski', '')]",[],Informa UK Limited
10.1093/aesthj/ayz040,BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,"How Literature Delivers Knowledge and Understanding, Illustrated by Hardy's Tess of the D'Urbervilles and Wharton's Summer",[],"Abstract Some philosophers, like Alex Rosenberg, claim that natural science delivers epistemic values such as knowledge and understanding, whereas, say, literature and, according to some, literary studies, merely have aesthetic value. Many of those working in the field of literary studies oppose this idea. But it is not clear exactly how works of literary art embody knowledge and understanding and how literary studies can bring these to the light. After all, literary works of art are pieces of fiction, which suggests that they are not meant to represent the actual world. How then can they deliver knowledge and understanding? I argue that literature and literary studies confer knowledge and understanding in at least five ways: they give us insight into the work and the world of the work of art in question, they shape our intellectual virtues, they invite us to apply various hypotheses, they deliver moral propositional knowledge, and they increase or bring about full understanding with respect to meaning, virtue, and significance. In the course of my argument, I refer at several junctures to Thomas Hardy’s Tess of the D’Urbervilles and Edith Wharton’s Summer, in order to illustrate each of these claims.","[('Rik Peels', 'Vrije Universiteit Amsterdam')]",[],Oxford University Press (OUP)
10.1093/jaac/kpab017,JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,How Empathy with Fictional Characters Differs from Empathy with Real Persons,[],,"[('Thomas Petraschka', 'Department of German Literature, University of Regensburg, Regensburg, Germany')]","['10.1017/CBO9781139164115', '10.1111/j.1540-594X.2004.00147.x', '10.1093/oso/9780195111040.003.0005', '10.7591/9781501721465', '10.1093/acprof:oso/9780195175769.001.0001', '10.1111/j.0021-8529.2006.00248.x', '10.1093/acprof:oso/9780199691517.001.0001', '10.1002/9781444315592.ch5', '10.1007/s11245-019-09634-9']",Oxford University Press (OUP)
10.1111/1467-8365.12613,ART HISTORY,1304 Fine Art; 1301 Art Theory,"Domestic Slavery, Skin Colour, and Image Dialectic in Thirteenth-Century Arabic Manuscripts",[],"This essay is the first scholarly exploration of slavery's visual representation in medieval Islam. Close examination of thirteenth‐century paintings from Arabic manuscripts, considered alongside textual sources, reveals how images may contribute to the study of slavery in the premodern Middle East. In particular, these paintings confirm the link between domestic service and the trade in black African slaves. They also suggest that if skin colour did not determine enslavement, it might have shaped the perception of slaves and the division of labour among them. This essay further attends to the semantic operations of slavery within the picture. One of its suggestions is that images of slaves functioned as signs of pure labour, as well as liminal figures, framing, highlighting, and creating a contrast with light‐skinned Arab characters, mostly seen engaged in acts of discourse and leisurely activities. A visual dialectic seems to be at work, creating a series of asymmetrical relationships, between light‐skinned and dark‐skinned, freedom and slavery, speech and labour, high culture and servitude. Such a dialectic may ultimately be read as a comment on the mechanisms and limits of archival power.","[('Lamia Balafrej', '')]",[],Oxford University Press (OUP)
10.1093/jaac/kpab054,JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Creative Agency as Executive Agency: Grounding the Artistic Significance of Automatic Images,[],"AbstractThis article examines the artistic potential of forms of image-making that involve registering the features of real objects using mind-independent processes. According to skeptics, these processes limit an agent’s intentional control over the features of the resultant “automatic images,” which in turn limits the artistic potential of the work, and the form as a whole. I argue that this is true only if intentional control is understood to mean that an agent produces the features of the work by their own bodily movements alone. Not only is this an unrealistic standard to uphold, but I show that a definition of intentional control based on the skeptic’s position does not prohibit an agent from realizing the features of an image by means beyond their own actions. An agent can exercise intentional control over the features of an image if they successfully anticipate the effect that the remote consequences of their actions will have on these. This, I argue, entails that to exert intentional control over the features of an image is to exercise “creative agency,” which is a species of executive agency. Consequently, I defend the idea that the origin of automatic images in creative agency grounds their artistic significance.","[('Claire Anscomb', 'Aesthetics Research Centre, University of Kent, Canterbury, Kent, UK')]","['10.1111/jaac.12137', '10.1007/s13194-020-00310-z', '10.1093/acprof:oso/9780199694853.003.0003', '10.1163/9789004335349', '10.4324/9781315266688', '10.1111/jaac.12404', '10.1111/1540_6245.jaac49.1.0023', '10.1002/9780470774922', '10.1093/acprof:oso/9780199694853.003.0004', '10.7208/chicago/9780226370330.001.0001', '10.1093/0199278067.001.0001', '10.1002/9781119053194', '10.1093/acprof:oso/9780199665778.001.0001', '10.1111/1467-8365.12115', '10.2190/EM.28.1.f', '10.1086/448116', '10.1086/448062']",Oxford University Press (OUP)
10.1080/09528822.2020.1733845,THIRD TEXT,1304 Fine Art; 1301 Art Theory,Afronauts Race in Space,[],,"[('W Ian Bourland', '')]",[],Informa UK Limited
"=""10.1086/715058""",GESTA-INTERNATIONAL CENTER OF MEDIEVAL ART,1304 Fine Art; 0603 World History; 1301 Art Theory,The Iberian Hebrew Bible: Rabbinic Writings and Ornamental Carpet Pages,[],,[],[],
10.1111/jaac.12726,JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,The Diversity of Intrinsic Ethical Flaws in Fiction,[],,"[('ADRIANA CLAVEL‐VÁZQUEZ', 'Faculty of PhilosophyUniversity of Oxford Radcliffe Humanities Oxford OX2 6GG UK')]","['10.7208/chicago/9780226065595.001.0001', '10.1017/CBO9780511605970.011', '10.1111/jaac.12091', '10.1111/j.1540-594X.2004.00130.x', '10.1111/j.1527-2001.2003.tb01417.x', '10.1111/j.1540-6245.2012.01520.x', '10.1093/acprof:oso/9780199609581.003.0014', '10.1007/BF00354537', '10.5840/philtopics19972518', '10.1017/CBO9780511663888.007', '10.1093/acprof:oso/9780199263219.001.0001', '10.2307/2678446', '10.1093/acprof:oso/9780199275731.003.0009', '10.1111/jaac.12032', '10.1111/j.0021-8529.2006.00247.x', '10.1080/00048409512346521', '10.1111/papq.12000', '10.1093/aesthj/ayt052', '10.1111/1540-6245.00061', '10.1111/j.0021-8529.2004.00157.x', '10.1111/jaac.12072', '10.1086/448144', '10.1093/aesthj/ayy043', '10.1080/00048402.2018.1502333', '10.1093/aesthj/ayi016']",Oxford University Press (OUP)
"=""10.1080/00233609.20201775696""",KONSTHISTORISK TIDSKRIFT,1304 Fine Art; 1301 Art Theory,Scented Scenographics and Olfactory Art: Making Sense of Scent in the Museum,[],,[],[],
